Number of Nodes,Operation,Hops
100,search,9
100,insert,6
100,search,6
100,insert,7
100,search,7
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,7
100,search,7
100,insert,6
100,search,6
100,insert,5
100,search,5
100,insert,6
100,search,6
100,insert,7
100,search,7
100,insert,5
100,search,5
100,insert,3
100,search,3
100,insert,7
100,search,7
100,insert,6
100,search,6
100,insert,5
100,search,5
100,insert,8
100,search,8
100,insert,7
100,search,7
100,insert,8
100,search,8
100,insert,5
100,search,5
100,insert,6
100,search,6
100,insert,4
100,search,4
100,insert,6
100,search,6
100,insert,7
100,search,7
100,insert,3
100,search,3
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,8
100,search,8
100,insert,4
100,search,4
100,insert,2
100,search,2
100,insert,9
100,search,9
100,insert,7
100,search,7
100,insert,8
100,search,8
100,insert,5
100,search,5
100,insert,8
100,search,8
100,insert,5
100,search,5
100,insert,7
100,search,7
100,insert,5
100,search,5
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,4
100,search,4
100,insert,3
100,search,3
100,insert,5
100,search,5
100,insert,7
100,search,7
100,insert,9
100,search,9
100,insert,7
100,search,7
100,insert,4
100,search,4
100,insert,6
100,search,6
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,3
100,search,3
100,insert,5
100,search,5
100,insert,8
100,search,8
100,insert,4
100,search,4
100,insert,3
100,search,3
200,insert,10
200,search,10
200,insert,8
200,search,8
200,insert,6
200,search,6
200,insert,7
200,search,7
200,insert,10
200,search,10
200,insert,6
200,search,6
200,insert,7
200,search,7
200,insert,6
200,search,6
200,insert,4
200,search,4
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,4
200,search,4
200,insert,5
200,search,5
200,insert,5
200,search,5
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,3
200,search,3
200,insert,9
200,search,9
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,9
200,search,9
200,insert,8
200,search,8
200,insert,5
200,search,5
200,insert,4
200,search,4
200,insert,4
200,search,4
200,insert,10
200,search,10
200,insert,3
200,search,3
200,insert,4
200,search,4
200,insert,5
200,search,5
200,insert,5
200,search,5
200,insert,7
200,search,7
200,insert,6
200,search,6
200,insert,4
200,search,4
200,insert,7
200,search,7
200,insert,10
200,search,10
200,insert,8
200,search,8
200,insert,4
200,search,4
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,8
200,search,8
200,insert,1
200,search,1
200,insert,10
200,search,10
200,insert,5
200,search,5
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,10
200,search,10
200,insert,6
200,search,6
200,insert,8
200,search,8
200,insert,3
200,search,3
200,insert,4
200,search,4
200,insert,6
200,search,6
200,insert,4
200,search,4
200,insert,4
200,search,4
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,8
200,search,8
200,insert,10
200,search,10
200,insert,10
200,search,10
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,4
200,search,4
200,insert,6
200,search,6
200,insert,7
200,search,7
200,insert,3
200,search,3
200,insert,5
200,search,5
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,5
200,search,5
200,insert,4
200,search,4
200,insert,9
200,search,9
200,insert,7
200,search,7
200,insert,8
200,search,8
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,4
200,search,4
200,insert,6
200,search,6
200,insert,8
200,search,8
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,9
200,search,9
200,insert,5
200,search,5
200,insert,7
200,search,7
200,insert,9
200,search,9
200,insert,4
200,search,4
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,6
200,search,6
200,insert,5
200,search,5
200,insert,4
200,search,4
200,insert,6
200,search,6
200,insert,4
200,search,4
200,insert,1
200,search,1
200,insert,5
200,search,5
200,insert,10
200,search,10
500,insert,7
500,search,7
500,insert,8
500,search,8
500,insert,7
500,search,7
500,insert,5
500,search,5
500,insert,8
500,search,8
500,insert,10
500,search,10
500,insert,10
500,search,10
500,insert,5
500,search,5
500,insert,6
500,search,6
500,insert,7
500,search,7
500,insert,6
500,search,6
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,4
500,search,4
500,insert,9
500,search,9
500,insert,5
500,search,5
500,insert,9
500,search,9
500,insert,11
500,search,11
500,insert,4
500,search,4
500,insert,8
500,search,8
500,insert,9
500,search,9
500,insert,10
500,search,10
500,insert,11
500,search,11
500,insert,8
500,search,8
500,insert,11
500,search,11
500,insert,7
500,search,7
500,insert,8
500,search,8
500,insert,4
500,search,4
500,insert,8
500,search,8
500,insert,8
500,search,8
500,insert,5
500,search,5
500,insert,8
500,search,8
500,insert,10
500,search,10
500,insert,7
500,search,7
500,insert,5
500,search,5
500,insert,4
500,search,4
500,insert,4
500,search,4
500,insert,6
500,search,6
500,insert,8
500,search,8
500,insert,3
500,search,3
500,insert,6
500,search,6
500,insert,7
500,search,7
500,insert,10
500,search,10
500,insert,5
500,search,5
500,insert,11
500,search,11
500,insert,4
500,search,4
500,insert,6
500,search,6
500,insert,13
500,search,13
500,insert,4
500,search,4
500,insert,13
500,search,13
500,insert,11
500,search,11
500,insert,7
500,search,7
500,insert,6
500,search,6
500,insert,7
500,search,7
500,insert,8
500,search,8
500,insert,10
500,search,10
500,insert,5
500,search,5
500,insert,7
500,search,7
500,insert,10
500,search,10
500,insert,9
500,search,9
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,3
500,search,3
500,insert,6
500,search,6
500,insert,11
500,search,11
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,9
500,search,9
500,insert,11
500,search,11
500,insert,8
500,search,8
500,insert,6
500,search,6
500,insert,6
500,search,6
500,insert,8
500,search,8
500,insert,4
500,search,4
500,insert,8
500,search,8
500,insert,7
500,search,7
500,insert,1
500,search,1
500,insert,7
500,search,7
500,insert,4
500,search,4
500,insert,9
500,search,9
500,insert,11
500,search,11
500,insert,8
500,search,8
500,insert,10
500,search,10
500,insert,4
500,search,4
500,insert,8
500,search,8
500,insert,8
500,search,8
500,insert,6
500,search,6
500,insert,8
500,search,8
500,insert,8
500,search,8
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,8
500,search,8
500,insert,9
500,search,9
500,insert,3
500,search,3
500,insert,6
500,search,6
500,insert,11
500,search,11
500,insert,4
500,search,4
500,insert,7
500,search,7
1000,insert,11
1000,search,11
1000,insert,6
1000,search,6
1000,insert,15
1000,search,15
1000,insert,9
1000,search,9
1000,insert,10
1000,search,10
1000,insert,7
1000,search,7
1000,insert,9
1000,search,9
1000,insert,6
