Number of Nodes,Operation,Hops
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
100,insert,3
100,search,3
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
