Number of Nodes,Operation,Hops
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
200,insert,1
200,search,1
