Number of Nodes,Operation,Hops
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
500,insert,1
500,search,1
