Number of Nodes,Operation,Hops
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
100,insert,1
100,search,1
