Number of Nodes,Operation,Hops
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,1
200,search,1
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,5
200,search,5
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,3
200,search,3
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
200,insert,2
200,search,2
