Number of Nodes,Operation,Hops
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,3
100,search,3
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,3
100,search,3
100,insert,2
100,search,2
100,insert,1
100,search,1
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
100,insert,2
100,search,2
