Number of Nodes,Operation,Hops
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,4
500,search,4
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,3
500,search,3
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,3
500,search,3
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,1
500,search,1
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,3
500,search,3
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
500,insert,2
500,search,2
