Number of Nodes,Operation,Hops,Average Hops
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
2000,insert,9,9.0
