Number of Nodes,Operation,Hops
500,insert,6
500,search,6
500,insert,5
500,search,5
500,insert,9
500,search,9
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,8
500,search,8
500,insert,11
500,search,11
500,insert,11
500,search,11
500,insert,9
500,search,9
500,insert,5
500,search,5
500,insert,10
500,search,10
500,insert,5
500,search,5
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,5
500,search,5
500,insert,5
500,search,5
500,insert,8
500,search,8
500,insert,9
500,search,9
500,insert,4
500,search,4
500,insert,6
500,search,6
500,insert,7
500,search,7
500,insert,9
500,search,9
500,insert,4
500,search,4
500,insert,9
500,search,9
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,8
500,search,8
500,insert,10
500,search,10
500,insert,4
500,search,4
500,insert,8
500,search,8
500,insert,4
500,search,4
500,insert,6
500,search,6
500,insert,9
500,search,9
500,insert,7
500,search,7
500,insert,9
500,search,9
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,4
500,search,4
500,insert,7
500,search,7
500,insert,11
500,search,11
500,insert,5
500,search,5
500,insert,7
500,search,7
500,insert,10
500,search,10
500,insert,6
500,search,6
500,insert,5
500,search,5
500,insert,4
500,search,4
500,insert,9
500,search,9
500,insert,9
500,search,9
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,9
500,search,9
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,7
500,search,7
500,insert,8
500,search,8
500,insert,4
500,search,4
500,insert,3
500,search,3
500,insert,6
500,search,6
500,insert,7
500,search,7
500,insert,9
500,search,9
500,insert,7
500,search,7
500,insert,10
500,search,10
500,insert,9
500,search,9
500,insert,4
500,search,4
500,insert,8
500,search,8
500,insert,10
500,search,10
500,insert,9
500,search,9
500,insert,10
500,search,10
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,6
500,search,6
500,insert,5
500,search,5
500,insert,8
500,search,8
500,insert,7
500,search,7
500,insert,9
500,search,9
500,insert,16
500,search,16
500,insert,6
500,search,6
500,insert,10
500,search,10
500,insert,6
500,search,6
500,insert,6
500,search,6
500,insert,8
500,search,8
500,insert,7
500,search,7
500,insert,5
500,search,5
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,7
500,search,7
500,insert,6
500,search,6
500,insert,10
500,search,10
500,insert,9
500,search,9
500,insert,8
500,search,8
500,insert,4
500,search,4
500,insert,9
500,search,9
500,insert,7
500,search,7
500,insert,10
500,search,10
500,insert,6
500,search,6
500,insert,9
500,search,9
500,insert,9
500,search,9
500,insert,5
500,search,5
,,7.473684211
