Number of Nodes,Operation,Hops
100,insert,7
100,search,7
100,insert,7
100,search,7
100,insert,10
100,search,10
100,insert,6
100,search,6
100,insert,3
100,search,3
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,9
100,search,9
100,insert,3
100,search,3
100,insert,6
100,search,6
100,insert,4
100,search,4
100,insert,4
100,search,4
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,9
100,search,9
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,6
100,search,6
100,insert,10
100,search,10
100,insert,6
100,search,6
100,insert,9
100,search,9
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,4
100,search,4
100,insert,4
100,search,4
100,insert,4
100,search,4
100,insert,6
100,search,6
100,insert,4
100,search,4
100,insert,10
100,search,10
100,insert,2
100,search,2
100,insert,11
100,search,11
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,3
100,search,3
100,insert,8
100,search,8
100,insert,5
100,search,5
100,insert,9
100,search,9
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,7
100,search,7
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,8
100,search,8
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,9
100,search,9
100,insert,7
100,search,7
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,6
100,search,6
100,insert,9
100,search,9
100,insert,4
100,search,4
100,insert,4
100,search,4
100,insert,6
100,search,6
100,insert,6
100,search,6
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,6
100,search,6
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,7
100,search,7
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,3
100,search,3
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,6
100,search,6
100,insert,8
100,search,8
100,insert,4
100,search,4
100,insert,5
100,search,5
100,insert,4
100,search,4
100,insert,6
100,search,6
100,insert,5
100,search,5
100,insert,9
100,search,9
100,insert,7
100,search,7
100,insert,3
100,search,3
100,insert,6
100,search,6
100,insert,10
100,search,10
,,5.413793103
