Number of Nodes,Operation,Hops
200,insert,5
200,search,5
200,insert,10
200,search,10
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,10
200,search,10
200,insert,7
200,search,7
200,insert,9
200,search,9
200,insert,8
200,search,8
200,insert,12
200,search,12
200,insert,7
200,search,7
200,insert,11
200,search,11
200,insert,9
200,search,9
200,insert,11
200,search,11
200,insert,8
200,search,8
200,insert,10
200,search,10
200,insert,9
200,search,9
200,insert,7
200,search,7
200,insert,9
200,search,9
200,insert,8
200,search,8
200,insert,10
200,search,10
200,insert,11
200,search,11
200,insert,9
200,search,9
200,insert,2
200,search,2
200,insert,5
200,search,5
200,insert,10
200,search,10
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,8
200,search,8
200,insert,8
200,search,8
200,insert,5
200,search,5
200,insert,5
200,search,5
200,insert,11
200,search,11
200,insert,12
200,search,12
200,insert,7
200,search,7
200,insert,9
200,search,9
200,insert,8
200,search,8
200,insert,9
200,search,9
200,insert,8
200,search,8
200,insert,5
200,search,5
200,insert,4
200,search,4
200,insert,12
200,search,12
200,insert,6
200,search,6
200,insert,11
200,search,11
200,insert,12
200,search,12
200,insert,12
200,search,12
200,insert,8
200,search,8
200,insert,12
200,search,12
200,insert,5
200,search,5
200,insert,7
200,search,7
200,insert,7
200,search,7
200,insert,11
200,search,11
200,insert,12
200,search,12
200,insert,10
200,search,10
200,insert,9
200,search,9
200,insert,11
200,search,11
200,insert,5
200,search,5
200,insert,6
200,search,6
200,insert,5
200,search,5
200,insert,5
200,search,5
200,insert,4
200,search,4
200,insert,11
200,search,11
200,insert,11
200,search,11
200,insert,7
200,search,7
200,insert,12
200,search,12
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,10
200,search,10
200,insert,7
200,search,7
200,insert,5
200,search,5
200,insert,8
200,search,8
200,insert,11
200,search,11
200,insert,9
200,search,9
200,insert,11
200,search,11
200,insert,9
200,search,9
200,insert,9
200,search,9
200,insert,12
200,search,12
200,insert,5
200,search,5
200,insert,9
200,search,9
200,insert,11
200,search,11
200,insert,9
200,search,9
200,insert,8
200,search,8
200,insert,11
200,search,11
200,insert,4
200,search,4
200,insert,12
200,search,12
200,insert,4
200,search,4
200,insert,10
200,search,10
200,insert,8
200,search,8
200,insert,6
200,search,6
200,insert,9
200,search,9
200,insert,12
200,search,12
200,insert,11
200,search,11
200,insert,11
200,search,11
200,insert,6
200,search,6
200,insert,4
200,search,4
200,insert,12
200,search,12
200,insert,9
200,search,9
200,insert,11
200,search,11
200,insert,11
200,search,11
200,insert,9
200,search,9
,,8.364102564
